# 数学者名 / Mathematicians
# reading	word	pos	flags
ひるべると	ヒルベルト	person
ひろなかへいすけ	Hironaka	person
ひろなかへいすけ	広中平祐	person
びあんき	Bianchi	person
びあんき	ビアンキ	person
びぐだーそん	Wigderson	person
びぐだーそん	ヴィグダーソン	person
びたり	Vitali	person
びたり	ヴィタリ	person
びっと	Witt	person
びっと	ヴィット	person
びやぞふすか	Viazovska	person
びやぞふすか	ヴィヤゾフスカ	person
びらに	Villani	person
びらに	ヴィラニ	person
びるかー	Birkar	person
びるかー	ビルカー	person
ぴあそん	Pearson	person
ぴあそん	ピアソン	person
ぴかーる	Picard	person
ぴかーる	ピカール	person
ぴたごらす	Pythagoras	person
ぴたごらす	ピタゴラス	person
ふぁすてんばーぐ	Furstenberg	person
ふぁすてんばーぐ	ファステンバーグ	person
ふぁとぅ	Fatou	person
ふぁとぅ	ファトゥ	person
ふぁるてぃんぐす	Faltings	person
ふぁるてぃんぐす	ファルティングス	person
ふぁんかんぺん	van Kampen	person
ふぁんかんぺん	ファン・カンペン	person
ふぃがり	Figalli	person
ふぃがり	フィガリ	person
ふぃっしゃー	Fisher	person	common
ふぃっしゃー	フィッシャー	person	common
ふぃぼなっち	Fibonacci	person
ふぃぼなっち	フィボナッチ	person
ふぃーるず	Fields	person
ふぃーるず	フィールズ	person
ふぇふぁーまん	Fefferman	person
ふぇふぁーまん	フェファーマン	person
ふぇらーり	Ferrari	person
ふぇらーり	フェラーリ	person
ふぇるまー	Fermat	person
ふぇるまー	フェルマー	person
ふかやけんじ	Fukaya	person
ふかやけんじ	深谷賢治	person
ふじたひろし	Fujita	person
ふじたひろし	藤田宏	person
ふじたふみあき	Huzita	person
ふじたふみあき	藤田文章	person
ふじわらまつさぶろう	Fujiwara	person
ふじわらまつさぶろう	藤原松三郎	person
ふびに	Fubini	person
ふびに	フビニ	person
ふれどほるむ	Fredholm	person
ふれどほるむ	フレドホルム	person
ふろいど	Freyd	person
ふろいど	フロイド	person
ふろべにうす	Frobenius	person
ふろべにうす	フロベニウス	person
ふわーりずみー	Al-Khwarizmi	person
ふわーりずみー	フワーリズミー	person
ふーりえ	Fourier	person
ふーりえ	フーリエ	person
ぶらうあー	Brauer	person
ぶらうあー	ブラウアー	person
ぶらうわー	Brouwer	person
ぶらうわー	ブラウワー	person
ぶらーまぐぷた	Brahmagupta	person
ぶらーまぐぷた	ブラーマグプタ	person
ぶるばき	Bourbaki	person
ぶるばき	ブルバキ	person
ぶーる	Boole	person
ぶーる	ブール	person
へるだー	Holder	person
へるだー	Hölder	person
へるだー	ヘルダー	person
へろん	Heron	person
へろん	ヘロン	person
べいゆ	Weil	person
べいゆ	ヴェイユ	person
べずー	Bezout	person
べずー	Bézout	person
べずー	ベズー	person
べっく	Beck	person	common
べっく	ベック	person	common
